id,family,method,split,status,task_count,accuracy,act_accuracy,abstention_accuracy,balanced_accuracy,call_accuracy,malformed_call_rate,protocol_compliance_rate
base-internal,1.5b,Base native-full,internal-validation,baseline,120,0.625,0.8333333333333334,0.4166666666666667,,,,1.0
base-bfcl,1.5b,Base native-full,bfcl,baseline,640,0.884375,,0.7041666666666667,0.8483333333333334,0.9925,0.0171875,
sft-seed-0-internal,1.5b,SFT seed 0,internal-validation,selected,120,0.9583333333333334,1.0,0.9166666666666666,,,,1.0
sft-seed-1-internal,1.5b,SFT seed 1,internal-validation,selected,120,0.9416666666666667,0.8833333333333333,1.0,,,,1.0
sft-seed-2-internal,1.5b,SFT seed 2,internal-validation,selected,120,0.9416666666666667,0.9666666666666667,0.9166666666666666,,,,1.0
sft-seed-0-bfcl,1.5b,SFT seed 0,bfcl,selected,640,0.9359375,,0.8416666666666667,0.9170833333333334,0.9925,0.096875,
sft-seed-1-bfcl,1.5b,SFT seed 1,bfcl,selected,640,0.9125,,0.7875,0.8875,0.9875,0.0546875,
sft-seed-2-bfcl,1.5b,SFT seed 2,bfcl,selected,640,0.9140625,,0.7791666666666667,0.8870833333333333,0.995,0.040625,
repair-internal,1.5b,Protocol repair,internal-validation,rejected,120,0.9583333333333334,1.0,0.9166666666666666,,,,1.0
repair-stress,1.5b,Protocol repair,protocol-stress,rejected,8,0.625,1.0,0.25,,,,1.0
repair-bfcl,1.5b,Protocol repair,bfcl,rejected,640,0.84375,,0.5833333333333334,0.7916666666666667,1.0,0.0203125,
dpo-internal,1.5b,Standard DPO,internal-validation,rejected,120,0.425,0.0,0.85,,,,1.0
sft-screen-internal,0.5b,SFT screen,internal-validation,baseline,120,0.8083333333333333,0.6333333333333333,0.9833333333333333,,,,1.0
anchored-05-internal,0.5b,Anchored DPO lambda 0.5,internal-validation,rejected,120,0.6583333333333333,0.35,0.9666666666666667,,,,1.0
anchored-10-internal,0.5b,Anchored DPO lambda 1.0,internal-validation,rejected,120,0.6083333333333333,0.2833333333333333,0.9333333333333333,,,,1.0
